date,state,state_code,crime,count,Clearances
2015/10,Missouri,MO,Aggravated Assault Reported by Population,1798.0,939.0
2015/11,Missouri,MO,Aggravated Assault Reported by Population,1813.0,951.0
2015/12,Missouri,MO,Aggravated Assault Reported by Population,1637.0,857.0
2016/01,Missouri,MO,Aggravated Assault Reported by Population,1691.0,902.0
2016/02,Missouri,MO,Aggravated Assault Reported by Population,1428.0,811.0
2016/03,Missouri,MO,Aggravated Assault Reported by Population,1786.0,954.0
2016/04,Missouri,MO,Aggravated Assault Reported by Population,1866.0,879.0
2016/05,Missouri,MO,Aggravated Assault Reported by Population,1945.0,1006.0
2016/06,Missouri,MO,Aggravated Assault Reported by Population,2074.0,963.0
2016/07,Missouri,MO,Aggravated Assault Reported by Population,2025.0,948.0
2016/08,Missouri,MO,Aggravated Assault Reported by Population,2155.0,952.0
2016/09,Missouri,MO,Aggravated Assault Reported by Population,1898.0,908.0
2016/10,Missouri,MO,Aggravated Assault Reported by Population,1780.0,829.0
2016/11,Missouri,MO,Aggravated Assault Reported by Population,1769.0,839.0
2016/12,Missouri,MO,Aggravated Assault Reported by Population,1585.0,823.0
2017/01,Missouri,MO,Aggravated Assault Reported by Population,1723.0,861.0
2017/02,Missouri,MO,Aggravated Assault Reported by Population,1620.0,798.0
2017/03,Missouri,MO,Aggravated Assault Reported by Population,1885.0,912.0
2017/04,Missouri,MO,Aggravated Assault Reported by Population,1842.0,831.0
2017/05,Missouri,MO,Aggravated Assault Reported by Population,2216.0,1040.0
2017/06,Missouri,MO,Aggravated Assault Reported by Population,1951.0,895.0
2017/07,Missouri,MO,Aggravated Assault Reported by Population,1993.0,838.0
2017/08,Missouri,MO,Aggravated Assault Reported by Population,2131.0,904.0
2017/09,Missouri,MO,Aggravated Assault Reported by Population,1980.0,845.0
2017/10,Missouri,MO,Aggravated Assault Reported by Population,2031.0,862.0
2017/11,Missouri,MO,Aggravated Assault Reported by Population,1712.0,755.0
2017/12,Missouri,MO,Aggravated Assault Reported by Population,1631.0,714.0
2018/01,Missouri,MO,Aggravated Assault Reported by Population,1743.0,806.0
2018/02,Missouri,MO,Aggravated Assault Reported by Population,1464.0,763.0
2018/03,Missouri,MO,Aggravated Assault Reported by Population,1664.0,854.0
2018/04,Missouri,MO,Aggravated Assault Reported by Population,1859.0,890.0
2018/05,Missouri,MO,Aggravated Assault Reported by Population,2004.0,902.0
2018/06,Missouri,MO,Aggravated Assault Reported by Population,1972.0,853.0
2018/07,Missouri,MO,Aggravated Assault Reported by Population,2069.0,960.0
2018/08,Missouri,MO,Aggravated Assault Reported by Population,1972.0,901.0
2018/09,Missouri,MO,Aggravated Assault Reported by Population,1898.0,867.0
2018/10,Missouri,MO,Aggravated Assault Reported by Population,1877.0,797.0
2018/11,Missouri,MO,Aggravated Assault Reported by Population,1614.0,779.0
