date,state,state_code,crime_type,crime_count,Clearances,year,population,total_population_at_date,total_crime_count_at_date,crime_rate,crime_count_standardized,crime_count_weighted,crime_relative_intensity,crime_rate_normalized,crime_count_normalized
2015-10-01,Alaska,AK,Aggravated Assault Reported by Population,317.0,197.0,2015,738.43,320738.994,117042.0,42928.91675581979,-0.23110301627222535,0.7298218002142888,1.176413387824147,0.15305351096458955,0.002487601230460167
2015-10-01,Alabama,AL,Aggravated Assault Reported by Population,1369.0,552.0,2015,4854.803,320738.994,117042.0,28198.878512681153,-0.1188098533556802,20.721600526688686,0.7727550730580107,0.10053683362612849,0.010742984493690752
2015-10-01,Arkansas,AR,Aggravated Assault Reported by Population,827.0,407.0,2015,2979.732,320738.994,117042.0,27754.173865300636,-0.17666431561876714,7.68300209858487,0.760568497193966,0.09895133804954535,0.006489735702178417
2015-10-01,Arizona,AZ,Aggravated Assault Reported by Population,1776.0,746.0,2015,6832.81,320738.994,117042.0,25992.234527229648,-0.07536563538321454,37.83472164909266,0.7122847485582698,0.09266953496254267,0.013936844748571786
2015-10-01,California,CA,Aggravated Assault Reported by Population,8687.0,4662.0,2015,38904.296,320738.994,117042.0,22329.153572140207,0.6623321297462944,1053.696699416598,0.6119025865586504,0.07960963400317465,0.06816969050160085
2015-10-01,Colorado,CO,Aggravated Assault Reported by Population,951.0,565.0,2015,5454.328,320738.994,117042.0,17435.695103044774,-0.16342823938145573,16.172233576314078,0.47780346431548565,0.06216309549127693,0.007462803691380501
2015-10-01,Connecticut,CT,Aggravated Assault Reported by Population,340.0,210.0,2015,3588.561,320738.994,117042.0,9474.549826518205,-0.2286479376153047,3.8040611301536975,0.2596382136293231,0.03377940151636752,0.0026680896478121665
2015-10-01,District of Columbia,DC,Aggravated Assault Reported by Population,374.0,73.0,2015,677.014,320738.994,117042.0,55242.57991710658,-0.22501869090507412,0.789437021181154,1.5138539591409381,0.19695514003177939,0.002934898612593383
2015-10-01,Delaware,DE,Aggravated Assault Reported by Population,296.0,211.0,2015,942.065,320738.994,117042.0,31420.337237876367,-0.2333446098285442,0.869402365214128,0.8610351289978986,0.1120222286833377,0.002322807458095298
2015-10-01,Florida,FL,Aggravated Assault Reported by Population,5.0,2.0,2015,20219.111,320738.994,117042.0,24.729079334892617,-0.26440669196610567,0.3151957101916957,0.0006776695569470487,8.816603588335558e-05,3.9236612467825976e-05
2015-10-01,Georgia,GA,Aggravated Assault Reported by Population,1803.0,723.0,2015,10183.353,320738.994,117042.0,17705.366788326006,-0.0724835865250903,57.24463131227505,0.485193480296705,0.06312454994573705,0.014148722455898047
2015-10-01,Hawaii,HI,Aggravated Assault Reported by Population,178.0,77.0,2015,1422.999,320738.994,117042.0,12508.793049046415,-0.24594023076405022,0.7897194502019296,0.34278786236610276,0.04459732131084952,0.0013968234038546049
2015-10-01,Iowa,IA,Aggravated Assault Reported by Population,534.0,370.0,2015,3122.541,320738.994,117042.0,17101.456794322316,-0.20793988285693038,5.198734563593474,0.4686440805988794,0.06097144309203712,0.004190470211563814
2015-10-01,Idaho,ID,Aggravated Assault Reported by Population,243.0,195.0,2015,1652.495,320738.994,117042.0,14705.03692900735,-0.23900196499449183,1.2519721409365023,0.4029731849543469,0.05242754070992028,0.0019068993659363425
2015-10-01,Illinois,IL,Aggravated Assault Reported by Population,2452.0,47.0,2015,12859.585,320738.994,117042.0,19067.48934744006,-0.003207671379807217,98.30953831575589,0.5225207490818374,0.06798089517388013,0.01924163475422186
2015-10-01,Indiana,IN,Aggravated Assault Reported by Population,1229.0,574.0,2015,6611.442,320738.994,117042.0,18588.985579847787,-0.13375381039780598,25.3335652041111,0.509407950510149,0.06627489634664785,0.009644359344591626
2015-10-01,Kansas,KS,Aggravated Assault Reported by Population,467.0,282.0,2015,2910.717,320738.994,117042.0,16044.156817718796,-0.2150916337270906,4.238040476612581,0.43967009426473985,0.05720187502950246,0.0036646996044949463
2015-10-01,Kentucky,KY,Aggravated Assault Reported by Population,449.0,213.0,2015,4429.126,320738.994,117042.0,10137.440208293916,-0.21701299963250675,6.200298720148758,0.27780389724571874,0.03614278983321051,0.003523447799610773
2015-10-01,Louisiana,LA,Aggravated Assault Reported by Population,1455.0,775.0,2015,4666.998,320738.994,117042.0,31176.357907160025,-0.10962999402980295,21.17136430876253,0.8543491799291238,0.11115237460848815,0.01141785422813736
2015-10-01,Massachusetts,MA,Aggravated Assault Reported by Population,1504.0,803.0,2015,6797.484,320738.994,117042.0,22125.833617261913,-0.10439960906505892,31.874565073930487,0.6063308569412662,0.0788847418955939,0.011802373030322054
2015-10-01,Maryland,MD,Aggravated Assault Reported by Population,1413.0,792.0,2015,5988.528,320738.994,117042.0,23595.113857695913,-0.11411318114244068,26.382168125151633,0.6465946482487351,0.08412313401875023,0.011088266683407622
2015-10-01,Maine,ME,Aggravated Assault Reported by Population,83.0,64.0,2015,1329.098,320738.994,117042.0,6244.83672385332,-0.25608077304263555,0.34394051257765057,0.17113195677645374,0.022264577310974903,0.0006513277669659112
2015-10-01,Michigan,MI,Aggravated Assault Reported by Population,2187.0,876.0,2015,9934.483,320738.994,117042.0,22014.230634850348,-0.0314944472095453,67.7395475057205,0.6032725164903097,0.07848684626758708,0.017162094293427084
2015-10-01,Minnesota,MN,Aggravated Assault Reported by Population,577.0,389.0,2015,5484.002,320738.994,117042.0,10521.51330360565,-0.20334995319399177,9.865558018180977,0.28832894109431595,0.03751211708735161,0.004527905078787118
2015-10-01,Missouri,MO,Aggravated Assault Reported by Population,1798.0,939.0,2015,6075.411,320738.994,117042.0,29594.70560921722,-0.07301729927659478,34.05756450679645,0.8110059726274746,0.10551334489100665,0.014109485843430221
2015-10-01,Mississippi,MS,Aggravated Assault Reported by Population,245.0,110.0,2015,2990.231,320738.994,117042.0,8193.346935403986,-0.23878847989389002,2.284120760820245,0.22452844735688535,0.029211557378617876,0.001922594010923473
2015-10-01,Montana,MT,Aggravated Assault Reported by Population,233.0,131.0,2015,1031.495,320738.994,117042.0,22588.572896620924,-0.2400693904975008,0.7493268342669928,0.6190116493872168,0.08053453594397317,0.0018284261410006905
2015-10-01,North Carolina,NC,Aggravated Assault Reported by Population,1840.0,966.0,2015,10037.218,320738.994,117042.0,18331.77280796332,-0.06853411216395705,57.58102839220104,0.5023593555016755,0.06535786137868502,0.01443907338815996
2015-10-01,North Dakota,ND,Aggravated Assault Reported by Population,134.0,87.0,2015,755.537,320738.994,117042.0,17735.72968630259,-0.25063690297728974,0.3156521654488946,0.48602553762244566,0.06323280210976925,0.0010515412141377362
