location,date,frequency,state,state_code,crime_type,crime_count,Clearances,year,population,total_population_at_date,total_crime_count_at_date,crime_rate,crime_count_standardized,crime_count_weighted,crime_relative_intensity,crime_rate_normalized,crime_count_normalized
AL,2021/11,0,Alabama,AL,Aggravated Assault Reported by Population,1165.0,353.0,2021.0,5049.196,332099.76,103323.0,23072.980331918192,-0.1405853336170635,17.712488982226304,0.7416094413358838,0.0822615829862106,0.0091421307050034
AL,2021/12,0,Alabama,AL,Aggravated Assault Reported by Population,1233.0,394.0,2021.0,5049.196,332099.76,106837.0,24419.72939850226,-0.1333268401966024,18.74635100007299,0.7590803066828481,0.0870631174437749,0.0096757486345658
AL,2022/01,0,Alabama,AL,Aggravated Assault Reported by Population,1214.0,417.0,2022.0,5076.181,334017.321,128093.0,23915.616878121564,-0.1353549486523194,18.449593319144068,0.6236273863281013,0.085265816300484,0.0095266495071881
AL,2022/02,0,Alabama,AL,Aggravated Assault Reported by Population,1090.0,417.0,2022.0,5076.181,334017.321,120218.0,21472.835582497944,-0.1485910248896308,16.565120854915186,0.5966077472208353,0.0765566225432682,0.008553581517986
AL,2022/03,1,Alabama,AL,Aggravated Assault Reported by Population,1236.0,440.0,2022.0,5076.181,334017.321,144091.0,24349.013559603176,-0.1330066125456997,18.78393520795887,0.5644344392204459,0.0868109958380546,0.0096992906020465
AL,2022/04,1,Alabama,AL,Aggravated Assault Reported by Population,1364.0,458.0,2022.0,5076.181,334017.321,146547.0,26870.594251859813,-0.1193435661071847,20.72919710651772,0.612448150128233,0.0958011313293741,0.0107037478812229
AL,2022/05,21,Alabama,AL,Aggravated Assault Reported by Population,1542.0,549.0,2022.0,5076.181,334017.321,161556.0,30377.167402029205,-0.1003433921536247,23.43432693420112,0.6280484832005202,0.1083030384969904,0.0121005712850775
AL,2022/06,1,Alabama,AL,Aggravated Assault Reported by Population,1425.0,533.0,2022.0,5076.181,334017.321,155272.0,28072.28505051337,-0.1128322705388299,21.65623598004967,0.6038841160621893,0.1000854927744561,0.0111824345533304
AL,2022/07,3,Alabama,AL,Aggravated Assault Reported by Population,1402.0,541.0,2022.0,5076.181,334017.321,162912.0,27619.188519873507,-0.1152873491957505,21.306696732652377,0.5662742681694475,0.0984700778033596,0.0110019461359784
AL,2022/08,1,Alabama,AL,Aggravated Assault Reported by Population,1344.0,477.0,2022.0,5076.181,334017.321,154729.0,26476.59726869472,-0.1214784171132026,20.4252499348679,0.5715568567550573,0.0943964226588554,0.0105468014313516
AL,2022/09,2,Alabama,AL,Aggravated Assault Reported by Population,1352.0,491.0,2022.0,5076.181,334017.321,149417.0,26634.19606196076,-0.1206244767107954,20.546828803527827,0.5953996409782609,0.0949583061270629,0.0106095800113001
AL,2022/10,2,Alabama,AL,Aggravated Assault Reported by Population,1309.0,483.0,2022.0,5076.181,334017.321,148071.0,25787.102548155795,-0.1252144063737341,19.893342384480714,0.5817032983830238,0.0919381824854478,0.0102721451440768
AL,2022/11,2,Alabama,AL,Aggravated Assault Reported by Population,1230.0,457.0,2022.0,5076.181,334017.321,130100.0,24230.81446465365,-0.133647067847505,18.692751056463926,0.6220992877118878,0.0863895832368989,0.0096522066670851
AL,2022/12,1,Alabama,AL,Aggravated Assault Reported by Population,1288.0,476.0,2022.0,5076.181,334017.321,171037.0,25373.40571583244,-0.1274559999300529,19.574197854248403,0.495515999570177,0.0904632383814031,0.0101073513717119
AL,2023/01,0,Alabama,AL,Aggravated Assault Reported by Population,1276.0,515.0,2023.0,5117.673,336806.231,140670.0,24933.20694776708,-0.1287369105336637,19.38844993636712,0.5969758625734303,0.088893807516005,0.0100131835017891
AL,2023/02,2,Alabama,AL,Aggravated Assault Reported by Population,1159.0,429.0,2023.0,5117.673,336806.231,120495.0,22647.01163986054,-0.1412257889188688,17.610668868534088,0.6330266512166112,0.0807428862939262,0.009095046770042
AL,2023/03,1,Alabama,AL,Aggravated Assault Reported by Population,1380.0,519.0,2023.0,5117.673,336806.231,137642.0,26965.38055479512,-0.1176356853023703,20.96869977444093,0.6598355292818495,0.0961390708245196,0.0108293050411199
AL,2023/04,1,Alabama,AL,Aggravated Assault Reported by Population,1130.0,451.0,2023.0,5117.673,336806.231,145845.0,22080.347845593107,-0.1443213228775949,17.170022279071194,0.5099111205076063,0.0787225724867443,0.0088674744177286
AL,2023/05,4,Alabama,AL,Aggravated Assault Reported by Population,1629.0,581.0,2023.0,5117.673,336806.231,158604.0,31830.873133160327,-0.0910567902774466,24.752182559829187,0.6759499388047521,0.1134859031689437,0.0127832883420177
AL,2023/06,2,Alabama,AL,Aggravated Assault Reported by Population,1384.0,545.0,2023.0,5117.673,336806.231,151464.0,27043.541078142352,-0.1172087151011667,21.029478614366848,0.6013596064690488,0.096417734797924,0.0108606943310942
AL,2023/07,4,Alabama,AL,Aggravated Assault Reported by Population,1580.0,490.0,2023.0,5117.673,336806.231,160102.0,30873.40672215673,-0.0962871752421906,24.00764177073672,0.649483189230595,0.1100722694947398,0.012398769539833
AL,2023/08,3,Alabama,AL,Aggravated Assault Reported by Population,1361.0,583.0,2023.0,5117.673,336806.231,151574.0,26594.11806889577,-0.1196637937580873,20.680000284792836,0.590936748621385,0.0948154169508486,0.0106802059137422
AL,2023/09,1,Alabama,AL,Aggravated Assault Reported by Population,1324.0,426.0,2023.0,5117.673,336806.231,146303.0,25871.133227933868,-0.1236132681192206,20.11779601547811,0.5955830621517857,0.0922377751968579,0.0103898549814803
AL,2023/10,7,Alabama,AL,Aggravated Assault Reported by Population,1361.0,533.0,2023.0,5117.673,336806.231,152473.0,26594.11806889577,-0.1196637937580873,20.680000284792836,0.5874525111694385,0.0948154169508486,0.0106802059137422
AL,2023/11,1,Alabama,AL,Aggravated Assault Reported by Population,1212.0,450.0,2023.0,5117.673,336806.231,130054.0,23682.638574211363,-0.1355684337529212,18.41598849755247,0.6133191011668493,0.0844351839415346,0.009510954862201
AL,2023/12,3,Alabama,AL,Aggravated Assault Reported by Population,1177.0,441.0,2023.0,5117.673,336806.231,153263.0,22998.733994923085,-0.1393044230134527,17.884173648200708,0.505413368823631,0.081996874174246,0.0092362985749262
AL,2024/01,1,Alabama,AL,Aggravated Assault Reported by Population,1109.0,471.0,2024.0,5157.699,340110.988,124442.0,21501.83638091327,-0.1465629164339137,16.817710667436593,0.5876641982069364,0.076660018444066,0.0087026806453638
AL,2024/02,2,Alabama,AL,Aggravated Assault Reported by Population,1139.0,456.0,2024.0,5157.699,340110.988,122511.0,22083.49110717784,-0.1433606399248868,17.27265324635733,0.6130745793399343,0.0787337790872779,0.0089381003201707
AL,2024/03,2,Alabama,AL,Aggravated Assault Reported by Population,1300.0,494.0,2024.0,5157.699,340110.988,136870.0,25205.03813813098,-0.1261750893264422,19.714178419898623,0.6263250108670569,0.0898629612058483,0.0102015192416347
AL,2024/04,0,Alabama,AL,Aggravated Assault Reported by Population,1208.0,520.0,2024.0,5157.699,340110.988,140993.0,23421.296977586324,-0.1359954039541248,18.319021177875022,0.5649812724949678,0.0835034285666652,0.0094795655722267
AL,2024/05,1,Alabama,AL,Aggravated Assault Reported by Population,1442.0,557.0,2024.0,5157.699,340110.988,157469.0,27958.203842449904,-0.1110176471837146,21.86757329345678,0.6038580502550365,0.0996787615837179,0.011315839035721
AL,2024/06,1,Alabama,AL,Aggravated Assault Reported by Population,1364.0,459.0,2024.0,5157.699,340110.988,154316.0,26445.901554162043,-0.1193435661071847,20.68472258826286,0.5828651407590132,0.094286983911367,0.0107037478812229
AL,2024/07,0,Alabama,AL,Aggravated Assault Reported by Population,1463.0,581.0,2024.0,5157.699,340110.988,154555.0,28365.36215083509,-0.1087760536273957,22.18603309870129,0.624203121613557,0.1011303940339662,0.0114806328080858
AL,2024/08,3,Alabama,AL,Aggravated Assault Reported by Population,1401.0,512.0,2024.0,5157.699,340110.988,148636.0,27163.275716555003,-0.1153940917460514,21.24581843559844,0.6215538995447892,0.096844622037995,0.0109940988134848
AL,2024/09,2,Alabama,AL,Aggravated Assault Reported by Population,1301.0,481.0,2024.0,5157.699,340110.988,145246.0,25224.426629006462,-0.1260683467761413,19.729343172529312,0.5906603047605371,0.089932086560622,0.0102093665641283
AL,2024/10,0,Alabama,AL,Aggravated Assault Reported by Population,1272.0,466.0,2024.0,5157.699,340110.988,140308.0,24662.16039361739,-0.1291638807348673,19.289565346239268,0.597818494860427,0.0879274512721839,0.0099817942118149
AL,2024/11,0,Alabama,AL,Aggravated Assault Reported by Population,1147.0,401.0,2024.0,5157.699,340110.988,125239.0,22238.59903418172,-0.1425066995224796,17.39397126740286,0.603932631947827,0.0792867819254677,0.0090008789001192
AL,2024/12,0,Alabama,AL,Aggravated Assault Reported by Population,1262.0,394.0,2024.0,5157.699,340110.988,139446.0,24468.275484862534,-0.1302313062378763,19.137917819932355,0.5967850888381722,0.0872361977244466,0.0099033209868792
AL,2025/01,1,Alabama,AL,Aggravated Assault Reported by Population,1132.0,453.0,2025.0,5157.699,340110.988,108808.0,21947.77167104944,-0.1441078377769931,17.166499977942493,0.6860413119843243,0.0782499016038618,0.0088831690627158
AL,2025/02,0,Alabama,AL,Aggravated Assault Reported by Population,1096.0,425.0,2025.0,5157.699,340110.988,99119.0,21249.785999531963,-0.1479505695878255,16.620568883237606,0.7291524037862956,0.0757613888320075,0.0086006654529474
AL,2025/03,0,Alabama,AL,Aggravated Assault Reported by Population,1185.0,452.0,2025.0,5157.699,340110.988,119584.0,22975.36168745016,-0.1384504826110455,17.97023186736913,0.653446360982742,0.0819135454068694,0.0092990771548747
AL,2025/04,1,Alabama,AL,Aggravated Assault Reported by Population,1259.0,479.0,2025.0,5157.699,340110.988,120854.0,24410.11001223608,-0.130551533888779,19.09242356204028,0.6869567108618916,0.0870288216601254,0.0098797790193985
AL,2025/05,0,Alabama,AL,Aggravated Assault Reported by Population,1313.0,505.0,2025.0,5157.699,340110.988,127470.0,25457.08851951229,-0.1247874361725305,19.91132020409761,0.6792371168098206,0.0907615908179068,0.0103035344340511
AL,2025/06,0,Alabama,AL,Aggravated Assault Reported by Population,1156.0,431.0,2025.0,5157.699,340110.988,121779.0,22413.095452061087,-0.1415460165697715,17.530454041079082,0.6259650710170721,0.0799089101184313,0.0090715048025613
AL,2025/07,1,Alabama,AL,Aggravated Assault Reported by Population,1278.0,546.0,2025.0,5157.699,340110.988,119345.0,24778.491338870303,-0.1285234254330619,19.38055386202341,0.7061407826396263,0.0883422034008263,0.0100288781467763
AL,2025/08,2,Alabama,AL,Aggravated Assault Reported by Population,1112.0,450.0,2025.0,5157.699,340110.988,96236.0,21560.00185353973,-0.1462426887830111,16.863204925328667,0.7619595090911123,0.0768673945083872,0.0087262226128444
AL,2025/09,0,Alabama,AL,Aggravated Assault Reported by Population,662.0,323.0,2025.0,5157.699,340110.988,59498.0,12835.180959571311,-0.1942768364184154,10.039066241517606,0.7337029946079847,0.0457609848602089,0.0051949274907401
AL,2025/10,1,,,,,,,,,,,,,,,
AL,2025/11,1,,,,,,,,,,,,,,,
AK,2021/11,0,Alaska,AK,Aggravated Assault Reported by Population,111.0,79.0,2021.0,734.42,332099.76,103323.0,15113.967484545628,-0.2530919816342104,0.2454702767626209,0.4857916411898035,0.0538854917134789,0.0008710527967857
AK,2021/12,0,Alaska,AK,Aggravated Assault Reported by Population,121.0,87.0,2021.0,734.42,332099.76,106837.0,16475.58617684704,-0.2520245561312014,0.2675847161106048,0.5121388858906764,0.058740040516495,0.0009495260217213
AK,2022/01,0,Alaska,AK,Aggravated Assault Reported by Population,296.0,222.0,2022.0,734.442,334017.321,128093.0,40302.7059999292,-0.2333446098285442,0.6508489779786002,1.0509396990582605,0.1436903402373074,0.0023228074580952
AK,2022/02,0,Alaska,AK,Aggravated Assault Reported by Population,254.0,175.0,2022.0,734.442,334017.321,120218.0,34584.078797236536,-0.2378277969411819,0.5584987851573123,0.9608944874399716,0.1233018460144462,0.0019932199133655
AK,2022/03,0,Alaska,AK,Aggravated Assault Reported by Population,327.0,222.0,2022.0,734.442,334017.321,144091.0,44523.59750667854,-0.2300355907692163,0.7190122155371698,1.03210143315426,0.1587389907351335,0.0025660744553958
AK,2022/04,0,Alaska,AK,Aggravated Assault Reported by Population,351.0,250.0,2022.0,734.442,334017.321,146547.0,47791.38447964577,-0.2274737695619948,0.7717837542921914,1.0892853631102828,0.1703895588624827,0.0027544101952413
AK,2022/05,0,Alaska,AK,Aggravated Assault Reported by Population,346.0,212.0,2022.0,734.442,334017.321,161556.0,47110.59552694426,-0.2280074823134993,0.7607896837182285,0.97401241109117,0.167962357169285,0.0027151735827735
AK,2022/06,0,Alaska,AK,Aggravated Assault Reported by Population,415.0,249.0,2022.0,734.442,334017.321,155272.0,56505.48307422506,-0.2206422463427373,0.9125078576389156,1.2155321035514128,0.2014577405354141,0.0032566388348295
AK,2022/07,1,Alaska,AK,Aggravated Assault Reported by Population,398.0,242.0,2022.0,734.442,334017.321,162912.0,54190.80063503994,-0.2224568696978525,0.8751280176874421,1.1110701514290622,0.1932052547785417,0.0031232343524389
AK,2022/08,0,Alaska,AK,Aggravated Assault Reported by Population,369.0,231.0,2022.0,734.442,334017.321,154729.0,50242.2247093712,-0.2255524036565786,0.8113624083584576,1.0845913370153086,0.1791274849579947,0.0028956620001255
AK,2022/09,0,Alaska,AK,Aggravated Assault Reported by Population,340.0,231.0,2022.0,734.442,334017.321,149417.0,46293.64878370245,-0.2286479376153047,0.7475967990294732,1.0348809403245416,0.1650497151374476,0.0026680896478121
AK,2022/10,0,Alaska,AK,Aggravated Assault Reported by Population,322.0,222.0,2022.0,734.442,334017.321,148071.0,43842.80855397703,-0.2305693035207208,0.7080181449632069,0.9890024014368304,0.1563117890419357,0.0025268378429279
AK,2022/11,0,Alaska,AK,Aggravated Assault Reported by Population,286.0,173.0,2022.0,734.442,334017.321,130100.0,38941.12809452618,-0.2344120353315532,0.6288608368306745,0.9997702753921192,0.1388359368509119,0.0022443342331596
AK,2022/12,0,Alaska,AK,Aggravated Assault Reported by Population,283.0,186.0,2022.0,734.442,334017.321,171037.0,38532.65472290528,-0.2347322629824559,0.6222643944862968,0.7525023299965983,0.1373796158349932,0.0022207922656789
AK,2023/01,1,Alaska,AK,Aggravated Assault Reported by Population,299.0,188.0,2023.0,736.51,336806.231,140670.0,40596.86901739284,-0.2330243821776415,0.6538373394879384,0.9720109791816844,0.1447391130930223,0.0023463494255759
AK,2023/02,0,Alaska,AK,Aggravated Assault Reported by Population,238.0,153.0,2023.0,736.51,336806.231,120495.0,32314.564635918046,-0.2395356777459963,0.5204457752445798,0.9032529749308638,0.1152103977128405,0.0018676627534685
AK,2023/03,0,Alaska,AK,Aggravated Assault Reported by Population,325.0,188.0,2023.0,736.51,336806.231,137642.0,44127.03154064439,-0.2302490758698181,0.7106927603129766,1.0797764620117811,0.1573251229271981,0.0025503798104086
AK,2023/04,0,Alaska,AK,Aggravated Assault Reported by Population,324.0,188.0,2023.0,736.51,336806.231,145845.0,43991.25605898087,-0.230355818420119,0.7085060133581672,1.0159092975543391,0.1568410456258837,0.0025425324879151
AK,2023/05,0,Alaska,AK,Aggravated Assault Reported by Population,407.0,282.0,2023.0,736.51,336806.231,158604.0,55260.621037053126,-0.2214961867451444,0.8900060106073275,1.1734963490333896,0.1970194616349835,0.003193860254881
AK,2023/06,0,Alaska,AK,Aggravated Assault Reported by Population,361.0,231.0,2023.0,736.51,336806.231,151464.0,49014.94888053116,-0.2264063440589858,0.7894156506861063,1.0899316137900337,0.1747519057745185,0.002832883420177
AK,2023/07,0,Alaska,AK,Aggravated Assault Reported by Population,344.0,203.0,2023.0,736.51,336806.231,160102.0,46706.7656922513,-0.228220967414101,0.7522409524543505,0.9825692193106434,0.1665225916521728,0.0026994789377864
AK,2023/08,0,Alaska,AK,Aggravated Assault Reported by Population,406.0,257.0,2023.0,736.51,336806.231,151574.0,55124.84555538961,-0.2216029292954454,0.8878192636525184,1.224906083231153,0.1965353843336691,0.0031860129323874
AK,2023/09,0,Alaska,AK,Aggravated Assault Reported by Population,341.0,191.0,2023.0,736.51,336806.231,146303.0,46299.43924726073,-0.2285411950650037,0.745680711589923,1.065866019854915,0.1650703597482294,0.0026759369703057
AK,2023/10,0,Alaska,AK,Aggravated Assault Reported by Population,304.0,204.0,2023.0,736.51,336806.231,152473.0,41275.74642571045,-0.232490669426137,0.6647710742619842,0.91176330139469,0.1471594995995945,0.0023855860380438
AK,2023/11,0,Alaska,AK,Aggravated Assault Reported by Population,243.0,148.0,2023.0,736.51,336806.231,130054.0,32993.44204423566,-0.2390019649944918,0.5313795100186256,0.8544448354249731,0.1176307842194128,0.0019068993659363
AK,2023/12,0,Alaska,AK,Aggravated Assault Reported by Population,274.0,188.0,2023.0,736.51,336806.231,153263.0,37202.48197580481,-0.235692945935164,0.5991686656177094,0.8175507290158909,0.1326371805601609,0.0021501663632368
AK,2024/01,0,Alaska,AK,Aggravated Assault Reported by Population,266.0,180.0,2024.0,740.133,340110.988,124442.0,35939.48655174137,-0.2365468863375711,0.5788562702949192,0.982257941798225,0.1281342510992419,0.0020873877832883
AK,2024/02,0,Alaska,AK,Aggravated Assault Reported by Population,281.0,174.0,2024.0,740.133,340110.988,122511.0,37966.14932721551,-0.2349457480830576,0.6114985411762115,1.0540036860555215,0.1353598667627329,0.0022050976206918
AK,2024/03,0,Alaska,AK,Aggravated Assault Reported by Population,284.0,182.0,2024.0,740.133,340110.988,136870.0,38371.481882310334,-0.2346255204321549,0.61802699535247,0.9535005928265264,0.1368049898954312,0.0022286395881725
AK,2024/04,0,Alaska,AK,Aggravated Assault Reported by Population,282.0,160.0,2024.0,740.133,340110.988,140993.0,38101.26017891378,-0.2348390055327568,0.6136746925682977,0.9190993342574046,0.1358415744736324,0.0022129449431853
AK,2024/05,0,Alaska,AK,Aggravated Assault Reported by Population,354.0,211.0,2024.0,740.133,340110.988,157469.0,47829.24150118965,-0.2271535419110921,0.7703575927985014,1.033044636230637,0.1705245296583896,0.002777952162722
AK,2024/06,0,Alaska,AK,Aggravated Assault Reported by Population,372.0,247.0,2024.0,740.133,340110.988,154316.0,50261.236831758615,-0.2252321760056759,0.8095283178560523,1.1077528523906408,0.1791952684545789,0.0029192039676062
AK,2024/07,0,Alaska,AK,Aggravated Assault Reported by Population,351.0,211.0,2024.0,740.133,340110.988,154555.0,47423.90894609482,-0.2274737695619948,0.7638291386222429,1.0436021174648733,0.1690794065256914,0.0027544101952413
AK,2024/08,0,Alaska,AK,Aggravated Assault Reported by Population,428.0,228.0,2024.0,740.133,340110.988,148636.0,57827.44452686206,-0.2192545931888256,0.9313927958128774,1.3232157277877663,0.2061709002649456,0.0033586540272459
AK,2024/09,0,Alaska,AK,Aggravated Assault Reported by Population,332.0,174.0,2024.0,740.133,340110.988,145246.0,44856.80276382758,-0.2295018780177118,0.7224822621726058,1.0503760176890606,0.1599269600186027,0.0026053110678636
AK,2024/10,0,Alaska,AK,Aggravated Assault Reported by Population,284.0,168.0,2024.0,740.133,340110.988,140308.0,38371.481882310334,-0.2346255204321549,0.61802699535247,0.9301367430236814,0.1368049898954312,0.0022286395881725
