uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,categories,relevance_score
ab6b83dc-ff5b-4e93-a2bf-d8e78a2f62bb,"Judge vacates death sentences of Pervis Payne, who was to be executed for a crime he says he didn't commit","A Tennessee judge this week vacated the death sentences of Pervis Payne, who has spent more than three decades on death row for two murders he says he did not c...","us, Judge vacates death sentences of Pervis Payne, who was to be executed for a crime he says he didn't commit - CNN","(CNN) A Tennessee judge this week vacated the death sentences of Pervis Payne , who has spent more than three decades on death row for two murders he says he di...",https://www.cnn.com/2021/11/27/us/pervis-payne-death-sentence-vacated/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211126103501-pervis-payne-11-23-2021-super-tease.jpg,en,2021-11-27T11:00:18.000000Z,cnn.com,['general'],9.289467
37f540bd-b5b5-4632-a14d-c47b5c9f98b9,Security guard dies after being shot in attempted robbery of San Francisco news crew,"A security guard on assignment for a San Francisco Bay area news crew died Saturday after being shot in an attempted robbery three days earlier, police said.","us, Security guard dies after being shot in attempted robbery of San Francisco news crew - CNN","(CNN) A security guard on assignment for a San Francisco Bay area news crew died Saturday after being shot in an attempted robbery three days earlier, police sa...",https://www.cnn.com/2021/11/28/us/ca-security-guard-dies-after-news-crew-shooting/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211127232847-kevin-nishita-security-guard-shot-super-tease.jpg,en,2021-11-28T05:54:50.000000Z,cnn.com,['general'],4.623854
881ea37b-dec0-4806-9e09-378fdce42813,Opinion: I reported on Ahmaud Arbery's death last year. I finally exhaled last week.,"Like many Black people in this country, I had been waiting for the verdict with bated breath. That is part of the Black experience in America -- holding one's b...","opinions, Opinion: I reported on Ahmaud Arbery's death last year. I finally exhaled last week. - CNN","Nsenga K. Burton, Ph.D., is the founder and editor-in-chief of The Burton Wire , a news blog covering the Black Diaspora. Dr. Burton is co-editor of the book ""B...",https://www.cnn.com/2021/11/28/opinions/ahmaud-arbery-verdict-reaction-burton/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211125121145-01-week-in-photos-1125-super-tease.jpg,en,2021-11-28T15:35:13.000000Z,cnn.com,['general'],4.5914893
0f6ae646-b5c3-41a1-9caf-96439f21b926,NYPD Hate Crimes Task Force is investigating after police say an Asian woman was attacked with a large rock,"The New York Police Department's Hate Crimes Task Force is investigating an attack on an Asian woman in Queens on Friday that left her in critical condition, an...","us, NYPD Hate Crimes Task Force is investigating after police say an Asian woman was attacked with a large rock - CNN",(CNN) The New York Police Department's Hate Crimes Task Force is investigating an attack on an Asian woman in Queens on Friday that left her in critical conditi...,https://www.cnn.com/2021/11/28/us/new-york-asian-woman-attack/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210408192737-nypd-cruiser-file-super-tease.jpg,en,2021-11-28T21:37:22.000000Z,cnn.com,['general'],7.5234613
7643601b-66a8-49be-ad0f-b0e3d1f065f7,Beverly Hills police say they're investigating anti-Semitic flyers distributed one night before the beginning of Hanukkah,"Police in Beverly Hills, California, have launched an investigation after residents received anti-Jewish hate speech flyers ahead of the first night of Hanukkah...","us, Beverly Hills police say they're investigating anti-Semitic flyers distributed one night before the beginning of Hanukkah - CNN","(CNN) Police in Beverly Hills, California, have launched an investigation after residents received anti-Jewish hate speech flyers ahead of the first night of Ha...",https://www.cnn.com/2021/11/29/us/beverly-hills-anti-semitic-flyers-investigation/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211129020850-map-2-beverly-hills-11292021-super-tease.jpg,en,2021-11-29T07:42:22.000000Z,cnn.com,['general'],7.0250225
043c440e-03f2-4184-9f62-51d358ba271f,"Trial of Jussie Smollett, accused of lying to police about an alleged hate crime, begins Monday with jury selection","The actor Jussie Smollett has denied for more than two years he lied about being the victim of a hate crime. Starting Monday, he and his lawyers will fight the ...","us, Jussie Smollett trial begins with jury selection in Chicago on Monday - CNN","(CNN) The long road in the Jussie Smollett case finally reaches trial Monday in Chicago, more than two years after police first alleged the actor lied about bei...",https://www.cnn.com/2021/11/29/us/jussie-smollett-trial-monday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211127094635-01-jussie-smollett-trial-preview-file-071421-super-tease.jpg,en,2021-11-29T10:45:11.000000Z,cnn.com,['general'],12.261545
ff604feb-ba3a-4ae7-b492-8e140f3559f8,Who is Ghislaine Maxwell? Socialite and ex-girlfriend of Jeffrey Epstein goes on trial,British socialite Ghislaine Maxwell has gained global notoriety as the former girlfriend and social companion of the convicted pedophile and disgraced financier...,"us, Who is Ghislaine Maxwell? Socialite and ex-girlfriend of Jeffrey Epstein goes on trial - CNN",(CNN) British socialite Ghislaine Maxwell has gained global notoriety as the former girlfriend and social companion of the convicted pedophile and disgraced fin...,https://www.cnn.com/2021/11/29/us/ghislaine-maxwell-epstein-profile-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200814010616-ghislaine-maxwell-file-super-tease.jpg,en,2021-11-29T10:54:12.000000Z,cnn.com,['general'],2.4320722
57e2fb03-b0c2-4b22-8ad2-d95d5a8ff96e,Jussie Smollett's trial starts today. This is how we got here,"Jury selection starts Monday in the trial of former ""Empire"" star Jussie Smollett, who is accused of making false reports to authorities that he was the victim ...","us, Jussie Smollett's trial starts today. This is how we got here - CNN","(CNN) Jury selection starts Monday in the trial of former ""Empire"" star Jussie Smollett , who is accused of making false reports to authorities that he was the ...",https://www.cnn.com/2021/11/29/us/jussie-smollett-how-we-got-here/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211127094639-03-jussie-smollett-trial-preview-file-111921-super-tease.jpg,en,2021-11-29T11:35:50.000000Z,cnn.com,['general'],2.2918944
d1ed5b35-f66c-417d-baf3-24c5bec2644f,Opinion: Shopping online this holiday season? Why you need to protect yourself,"Cyber Monday is here, and while millions of Americans will be looking for the best deals the internet has to offer, cyber criminals will be hard at work looking...","perspectives, Opinion: Shopping online this holiday season? Why you need to protect yourself - CNN","Jen Easterly is the director of the Cybersecurity and Infrastructure Security Agency (CISA), leading the national effort to understand, manage, and reduce risk ...",https://www.cnn.com/2021/11/29/perspectives/cyber-monday-safe-online-shopping/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211127123106-online-shopping-stock-super-tease.jpg,en,2021-11-29T12:18:57.000000Z,cnn.com,['general'],3.5035028
a4b8e805-0f93-4d8f-a94b-d3c45334c1a9,"The Taliban executed scores of Afghan security forces members after surrender, HRW report alleges","The Taliban executed dozens of members of the Afghan security forces after they surrendered following the militants' seizure of Afghanistan in late summer, new ...","asia, The Taliban executed scores of Afghan security forces members after surrender, HRW alleges - CNN",(CNN) The Taliban executed dozens of members of the Afghan security forces after they surrendered following the militants' seizure of Afghanistan in late summer...,https://www.cnn.com/2021/11/30/asia/afghanistan-hrw-report-taliban-killings-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/211115081645-taliban-military-parade-kabul-afghanistan-11-14-2021-super-tease.jpg,en,2021-11-30T13:49:03.000000Z,cnn.com,['general'],2.9786196
