population,state_code,state,date
1754.0,MN,Minnesota,1900/01
1805.0,MN,Minnesota,1901/01
1862.0,MN,Minnesota,1902/01
1901.0,MN,Minnesota,1903/01
1945.0,MN,Minnesota,1904/01
1981.0,MN,Minnesota,1905/01
1987.0,MN,Minnesota,1906/01
1995.0,MN,Minnesota,1907/01
2020.0,MN,Minnesota,1908/01
2051.0,MN,Minnesota,1909/01
2086.0,MN,Minnesota,1910/01
2119.0,MN,Minnesota,1911/01
2147.0,MN,Minnesota,1912/01
2190.0,MN,Minnesota,1913/01
2234.0,MN,Minnesota,1914/01
2273.0,MN,Minnesota,1915/01
2308.0,MN,Minnesota,1916/01
2329.0,MN,Minnesota,1917/01
2291.0,MN,Minnesota,1918/01
2346.0,MN,Minnesota,1919/01
2403.0,MN,Minnesota,1920/01
2434.0,MN,Minnesota,1921/01
2451.0,MN,Minnesota,1922/01
2487.0,MN,Minnesota,1923/01
2521.0,MN,Minnesota,1924/01
2540.0,MN,Minnesota,1925/01
2560.0,MN,Minnesota,1926/01
2588.0,MN,Minnesota,1927/01
2592.0,MN,Minnesota,1928/01
2572.0,MN,Minnesota,1929/01
2576.0,MN,Minnesota,1930/01
2614.0,MN,Minnesota,1931/01
2646.0,MN,Minnesota,1932/01
2673.0,MN,Minnesota,1933/01
2695.0,MN,Minnesota,1934/01
2717.0,MN,Minnesota,1935/01
2734.0,MN,Minnesota,1936/01
2746.0,MN,Minnesota,1937/01
2753.0,MN,Minnesota,1938/01
2771.0,MN,Minnesota,1939/01
2790.0,MN,Minnesota,1940/01
2718.0,MN,Minnesota,1941/01
2662.0,MN,Minnesota,1942/01
2577.0,MN,Minnesota,1943/01
2526.0,MN,Minnesota,1944/01
2537.0,MN,Minnesota,1945/01
2734.0,MN,Minnesota,1946/01
2796.0,MN,Minnesota,1947/01
2868.0,MN,Minnesota,1948/01
2935.0,MN,Minnesota,1949/01
2997.0,MN,Minnesota,1950/01
3010.0,MN,Minnesota,1951/01
3030.0,MN,Minnesota,1952/01
3050.0,MN,Minnesota,1953/01
3113.0,MN,Minnesota,1954/01
3172.0,MN,Minnesota,1955/01
3240.0,MN,Minnesota,1956/01
3274.0,MN,Minnesota,1957/01
3313.0,MN,Minnesota,1958/01
3366.0,MN,Minnesota,1959/01
3425.0,MN,Minnesota,1960/01
3470.0,MN,Minnesota,1961/01
3513.0,MN,Minnesota,1962/01
3531.0,MN,Minnesota,1963/01
3558.0,MN,Minnesota,1964/01
3592.0,MN,Minnesota,1965/01
3617.0,MN,Minnesota,1966/01
3659.0,MN,Minnesota,1967/01
3703.0,MN,Minnesota,1968/01
3758.0,MN,Minnesota,1969/01
3806.103,MN,Minnesota,1970/01
3853.486,MN,Minnesota,1971/01
3869.747,MN,Minnesota,1972/01
3889.332,MN,Minnesota,1973/01
3903.925,MN,Minnesota,1974/01
3932.515,MN,Minnesota,1975/01
3964.68,MN,Minnesota,1976/01
3989.364,MN,Minnesota,1977/01
4015.341,MN,Minnesota,1978/01
4050.316,MN,Minnesota,1979/01
4085.017,MN,Minnesota,1980/01
4111.728,MN,Minnesota,1981/01
4131.45,MN,Minnesota,1982/01
4141.456,MN,Minnesota,1983/01
4157.706,MN,Minnesota,1984/01
4184.302,MN,Minnesota,1985/01
4205.212,MN,Minnesota,1986/01
4235.136,MN,Minnesota,1987/01
4296.166,MN,Minnesota,1988/01
4338.057,MN,Minnesota,1989/01
4387.283,MN,Minnesota,1990/01
4427.429,MN,Minnesota,1991/01
4471.503,MN,Minnesota,1992/01
4521.709,MN,Minnesota,1993/01
